COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,População Normalizada,casos_normalizados,PRECIPITAÇÃO NORMALIZADA,TEMP MAX NORMALIZADA,TEMP MIN NORMALIZADA,UMIDADE MAX NORMALIZADA,UMIDADE MIN NORMALIZADA
25,3,. Águas Claras,1560.0,9892800,0.0152366725434909,15.76904415332363,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
26,4,. Recanto Das Emas,2260.0,12361500,0.0192140414801863,18.282570885410347,0.1182393160159641,0.2735926832358939,0.2170507031350178,0.0153342704844459,0.0
27,4,. Samambaia,6575.0,20123000,0.0317187399053338,32.674054564428765,0.1182393160159641,0.2735926832358939,0.2170507031350178,0.0153342704844459,0.0
28,3,. Taguatinga,4483.0,20570200,0.0324392322245667,21.793662677076547,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
29,3,. Vicente Pires,2491.0,6106600,0.0091366546117389,40.7919300429044,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
30,4,. Gama,1087.0,13454900,0.0209756387562356,8.078841165671985,0.1182393160159641,0.2735926832358939,0.2170507031350178,0.0153342704844459,0.0
31,4,. Santa Maria,740.0,11969100,0.0185818384701976,6.182586827748118,0.1182393160159641,0.2735926832358939,0.2170507031350178,0.0153342704844459,0.0
32,7,Angra dos Reis,504.0,16743400,0.0262738028702725,3.0101413094114697,0.4160996470193702,0.3875392775989812,0.5180674241199866,0.9128337061535025,0.9055146801479812
33,8,Rio de janeiro,7576.0,621122300,1.0,1.2197275802205136,0.0669349221697298,0.5872101666667415,0.6847784462305515,0.5996493030097608,0.6507393176018095
34,6,Campos de Goytacazes,1142.0,4835400,0.0070886004162808,23.617487694916655,0.0942738726827761,0.6757010697806496,0.7259595024572675,0.6324458510464804,0.6595990470098351
35,9,Valença,146.0,6808800,0.0102679822203375,2.144283867935613,0.183966454940644,0.0034820533582416,0.1235776271693435,0.7183858031692163,0.7296372333290227
